1722446996128,83,-80,4,0,-30,1,-30,2,-27,2,-26,3,-25,3,-23,4,-22,4,-21,5,-19,5,-18,6,-17,5,-16,4,-15,3,-14,1,-12,-1,-10,-4,-7,-5,-5,-7,-2,-8,1,-10,4,-10,7,-10,13,10,-11,13,-11,16,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-8,2,-6,0,-5,-2,-3,-4,-3,-7,-2,-11,-2,-14,-2,-17,-3,-19,-3,-22,-4,-24,-4,-26,-5,-28,-5,-29,-6,-32,-6,-32,-7,-33,-7,-34,-7,-35,-6,-35,-7,-35,-7,-33,-6,-32,-4,-32,-3,-32
1722446996151,83,-80,4,0,-10,26,-10,26,-8,24,-7,24,-6,23,-5,21,-4,20,-3,19,-2,18,-1,18,-1,16,-1,15,-1,14,-2,12,-2,13,10,-2,7,-2,5,-2,2,-2,0,-1,-3,0,-5,1,-7,2,-9,3,-10,6,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,-2,-2,-1,1,-1,3,-1,6,-1,9,-2,12,-3,15,-5,18,-7,19,-9,22,-10,24,-11,25,-12,25,-14,27,-15,27,-16,29,-16,28,-17,30,-18,30,-18,29,-18,29,-17,27,-16,28,-14,28,-13
1722446996186,83,-80,4,0,-30,-7,-28,-7,-26,-6,-25,-5,-23,-4,-22,-3,-20,-2,-19,-1,-18,0,-17,1,-15,0,-13,1,-11,1,-9,1,-6,1,-3,1,0,3,3,5,5,6,6,9,7,11,8,13,8,16,9,18,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-10,-6,-8,-7,-7,-9,-5,-10,-4,-12,-3,-15,-2,-17,-2,-20,-2,-23,-3,-26,-4,-27,-4,-29,-5,-30,-6,-32,-6,-35,-6,-35,-7,-36,-8,-37,-10,-38,-10,-37,-12,-36,-11,-35,-12,-34,-12,-33,-11,-33,-10
1722446996197,83,-80,4,0,6,-19,6,-19,5,-16,5,-16,4,-15,3,-14,2,-13,1,-12,0,-11,0,-11,0,-9,-1,-8,-1,-7,-1,-5,-1,-3,-2,-1,-3,1,-5,2,-6,4,-9,5,-10,4,-11,5,-13,5,-14,5,-17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-3,6,-3,4,-4,4,-5,3,-5,3,-7,2,-9,2,-10,2,-12,3,-13,3,-15,4,-17,4,-18,4,-19,5,-20,5,-21,6,-22,7,-22,8,-24,8,-23,9,-23,13,10,-22,9,-21,9,-21,8,-21,8
1722446996209,83,-80,4,0,-23,2,-22,2,-20,2,-19,2,-17,2,-15,2,-13,2,-11,3,-10,3,-9,3,-8,2,-6,2,-4,2,-1,1,1,1,3,1,7,1,13,10,2,12,4,13,5,14,7,15,9,16,11,17,13,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-8,-5,-7,-5,-6,-6,-5,-7,-3,-8,-2,-9,-1,-11,-1,-13,1,-15,1,-17,2,-18,2,-20,2,-21,2,-22,2,-24,2,-25,2,-26,2,-27,2,-28,1,-28,0,-27,0,-26,0,-26,1,-25,2,-25
1722446996235,83,-80,4,0,2,17,2,16,3,14,3,13,3,11,3,9,3,7,3,6,3,4,2,2,1,1,-1,-1,-2,-3,-4,-5,-5,-8,-6,-11,-7,-15,-8,-18,-7,-21,-6,-24,-4,-26,-4,-27,-2,-30,0,-30,2,-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,-2,-8,-1,-7,0,-7,2,-6,3,-7,5,-6,6,-6,8,-6,9,-6,11,-6,13,-6,14,-6,16,-5,16,-6,18,-5,19,-5,20,-5,21,-5,22,-4,22,-4,22,-4,21,-3,20,-1,19,0,19,2,19
1722446996247,83,-80,4,0,-14,14,-14,14,-12,13,-11,12,-10,11,-9,9,-7,8,-7,7,-7,5,-8,5,-9,2,-10,1,-12,-1,-13,-3,-16,-7,-17,-10,-19,-14,-20,-17,-20,-20,-20,-23,-19,-25,-19,-27,-19,-31,-17,-32,-16,-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-11,-2,-11,-4,-9,-6,-9,-7,-8,-9,-9,-11,-8,-13,-7,-15,-6,-16,-6,-18,-5,-19,-4,-21,-3,-21,-2,-23,-1,-23,1,-24,3,-23,5,-25,6,-24,8,-24,9,-23,9,-22,13,10,-21,11,-19,12,-18
1722446996270,83,-80,4,0,-14,-18,-14,-18,-13,-16,-13,-15,-12,-14,-12,-13,-11,-12,-10,-11,-10,-11,-10,-11,-8,-11,-6,-11,-4,-12,-2,-14,0,-16,4,-17,7,-17,13,10,-18,13,-17,16,-17,18,-15,20,-14,23,-14,24,-13,27,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-10,8,-10,7,-12,8,-13,7,-14,8,-17,8,-18,8,-19,7,-20,7,-22,6,-24,6,-24,5,-24,3,-25,3,-25,1,-25,-1,-26,-2,-26,-4,-27,-5,-26,-7,-26,-7,-25,-8,-25,-10,-23,-11,-22,-13
1722446996288,83,-80,4,0,7,15,7,15,7,13,7,13,7,12,7,11,6,13,10,6,9,5,8,5,8,3,7,2,7,0,7,-1,6,-3,6,-5,5,-8,4,-10,3,-11,1,-13,-1,-13,-3,-14,-5,-15,-7,-15,-8,-16,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,5,-3,6,-3,7,-3,9,-2,9,-3,11,-3,13,-3,14,-4,14,-4,15,-4,16,-4,16,-4,17,-3,17,-3,17,-2,18,-1,18,0,18,0,19,1,19,2,18,2,18,3,17,4,17,5,16,7
1722446996312,83,-80,4,0,29,-7,28,-7,26,-8,24,-7,23,-8,20,-8,19,-8,16,-8,15,-8,14,-6,13,-4,12,-2,11,1,13,10,5,9,9,8,13,6,17,4,21,1,24,-2,27,-4,29,-6,32,-9,34,-11,35,-15,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,-1,1,1,1,3,3,6,4,7,7,9,9,11,12,12,13,14,15,15,15,17,16,18,16,20,15,21,15,23,14,25,13,26,12,28,11,28,13,10,30,13,10,30,8,29,5,29,2,30
